x ksi mu sig ypdf ycdf
-2.5 0.5 0 1 0 0
-2 0.5 0 1 0 0
-1.5 0.5 0 1 7.20225118203259e-06 1.12535174719259e-07
-1 0.5 0 1 0.146525111109873 0.0183156388887342
-0.5 0.5 0 1 0.400624155036601 0.169013315406066
0 0.5 0 1 0.367879441171442 0.367879441171442
0.5 0.5 0 1 0.269973721110041 0.527292424043049
1 0.5 0 1 0.189979374349616 0.641180388429955
1.5 0.5 0 1 0.13460940694666 0.721422290354756
2 0.5 0 1 0.0973500978839256 0.778800783071405
2.5 0.5 0 1 0.0720552918121936 0.820754808298268
3 0.5 0 1 0.0545372024938375 0.852143788966211
3.5 0.5 0 1 0.0421283596160036 0.876138228889075
4 0.5 0 1 0.0331421969190507 0.89483931681437
-4 0.5 0.5 0.5 0 0
-3.5 0.5 0.5 0.5 0 0
-3 0.5 0.5 0.5 0 0
-2.5 0.5 0.5 0.5 0 0
-2 0.5 0.5 0.5 0 0
-1.5 0.5 0.5 0.5 0 0
-1 0.5 0.5 0.5 0 0
-0.5 0.5 0.5 0.5 0 0
0 0.5 0.5 0.5 0.293050222219747 0.0183156388887342
0.5 0.5 0.5 0.5 0.735758882342885 0.367879441171442
1 0.5 0.5 0.5 0.379958748699232 0.641180388429955
1.5 0.5 0.5 0.5 0.194700195767851 0.778800783071405
2 0.5 0.5 0.5 0.109074404987675 0.852143788966211
2.5 0.5 0.5 0.5 0.0662843938381015 0.89483931681437
3 0.5 0.5 0.5 0.04299057480106 0.921610447297725
3.5 0.5 0.5 0.5 0.0293566582129211 0.939413062813476
4 0.5 0.5 0.5 0.0208903546649786 0.951816784423089
-4 0.5 0.5 1 0 0
-3.5 0.5 0.5 1 0 0
-3 0.5 0.5 1 0 0
-2.5 0.5 0.5 1 0 0
-2 0.5 0.5 1 0 0
-1.5 0.5 0.5 1 0 0
-1 0.5 0.5 1 7.20225118203259e-06 1.12535174719259e-07
-0.5 0.5 0.5 1 0.146525111109873 0.0183156388887342
0 0.5 0.5 1 0.400624155036601 0.169013315406066
0.5 0.5 0.5 1 0.367879441171442 0.367879441171442
1 0.5 0.5 1 0.269973721110041 0.527292424043049
1.5 0.5 0.5 1 0.189979374349616 0.641180388429955
2 0.5 0.5 1 0.13460940694666 0.721422290354756
2.5 0.5 0.5 1 0.0973500978839256 0.778800783071405
3 0.5 0.5 1 0.0720552918121936 0.820754808298268
3.5 0.5 0.5 1 0.0545372024938375 0.852143788966211
4 0.5 0.5 1 0.0421283596160036 0.876138228889075
