 istep         h         x            y0            y1            y2            y3
   163  0.161601 14.542877 -6.895766E-01 -7.822098E-01  1.289736E-02  3.914957E-01
   164  0.151994 14.694871 -6.793425E-01 -7.243956E-01  1.229389E-01  3.664468E-01
   165  0.143595 14.838465 -6.538387E-01 -6.743748E-01  2.333436E-01  3.279905E-01
   166  0.135726 14.974191 -6.147321E-01 -6.329782E-01  3.440490E-01  2.804468E-01
   167  0.127331 15.101522 -5.639451E-01 -6.004849E-01  4.549801E-01  2.292343E-01
   168  0.118641 15.220163 -5.034385E-01 -5.761994E-01  5.665169E-01  1.805193E-01
   169  0.109701 15.329864 -4.352284E-01 -5.586485E-01  6.786265E-01  1.410230E-01
   170  0.100729 15.430593 -3.613224E-01 -5.457742E-01  7.901623E-01  1.174227E-01
   171  0.092027 15.522620 -2.836673E-01 -5.352412E-01  8.982203E-01  1.154434E-01
   172  0.084042 15.606662 -2.039688E-01 -5.247573E-01  9.980563E-01  1.387818E-01
   173  0.077127 15.683789 -1.236295E-01 -5.123361E-01  1.083417E+00  1.882232E-01
   174  0.071131 15.754920 -4.417969E-02 -4.965247E-01  1.147147E+00  2.606296E-01
   175  0.065602 15.820522  3.240450E-02 -4.766500E-01  1.183212E+00  3.481161E-01
   176  0.060496 15.881019  1.043236E-01 -4.528486E-01  1.189702E+00  4.397285E-01
   177  0.056878 15.937897  1.715301E-01 -4.253545E-01  1.169134E+00  5.262661E-01
   178  0.054678 15.992575  2.343770E-01 -3.944876E-01  1.126169E+00  6.006096E-01
   179  0.053928 16.046503  2.935574E-01 -3.604656E-01  1.066253E+00  6.580494E-01
   180  0.054497 16.101000  3.497539E-01 -3.234815E-01  9.949380E-01  6.956280E-01
   181  0.056274 16.157274  4.035681E-01 -2.837762E-01  9.176251E-01  7.117690E-01
   182  0.059009 16.216283  4.553850E-01 -2.418376E-01  8.396054E-01  7.061148E-01
   183  0.062175 16.278458  5.052457E-01 -1.986586E-01  7.660516E-01  6.798043E-01
   184  0.065254 16.343712  5.530467E-01 -1.556625E-01  7.012456E-01  6.356828E-01
   185  0.068197 16.411909  5.989604E-01 -1.142401E-01  6.475914E-01  5.774798E-01
   186  0.071305 16.483214  6.435625E-01 -7.548424E-02  6.057032E-01  5.085293E-01
   187  0.074673 16.557887  6.875791E-01 -4.037166E-02  5.753398E-01  4.312829E-01
   188  0.078061 16.635948  7.316649E-01 -9.963496E-03  5.561610E-01  3.473679E-01
   189  0.080235 16.716184  7.758954E-01  1.435864E-02  5.483056E-01  2.583928E-01
   190  0.077727 16.793910  8.185902E-01  3.097149E-02  5.523467E-01  1.681537E-01
   191  0.055797 16.849708  8.496965E-01  3.843659E-02  5.641216E-01  9.843480E-02
   192  0.044012 16.893720  8.748694E-01  4.145622E-02  5.812401E-01  3.759797E-02
   193  0.034364 16.928083  8.951801E-01  4.183926E-02  6.023076E-01 -1.664467E-02
   194  0.026900 16.954983  9.116884E-01  4.073889E-02  6.265558E-01 -6.665493E-02
   195  0.021140 16.976123  9.252024E-01  3.884343E-02  6.534654E-01 -1.143097E-01
   196  0.016696 16.992819  9.363440E-01  3.655884E-02  6.826347E-01 -1.611513E-01
   197  0.013261 17.006080  9.455925E-01  3.412110E-02  7.137067E-01 -2.084884E-01
   198  0.010593 17.016672  9.533178E-01  3.166470E-02  7.463191E-01 -2.574705E-01
   199  0.008511 17.025183  9.598076E-01  2.926361E-02  7.800708E-01 -3.091477E-01
   200  0.006879 17.032062  9.652875E-01  2.695567E-02  8.144906E-01 -3.645168E-01
   201  0.005593 17.037655  9.699361E-01  2.475721E-02  8.490052E-01 -4.245558E-01
   202  0.004575 17.042230  9.738957E-01  2.267187E-02  8.828990E-01 -4.902467E-01
   203  0.003766 17.045996  9.772803E-01  2.069600E-02  9.152635E-01 -5.625872E-01
   204  0.003120 17.049116  9.801816E-01  1.882197E-02  9.449306E-01 -6.425820E-01
   205  0.002602 17.051717  9.826730E-01  1.704041E-02  9.703887E-01 -7.311984E-01
   206  0.002183 17.053900  9.848134E-01  1.534188E-02  9.896868E-01 -8.292589E-01
   207  0.001843 17.055744  9.866486E-01  1.371824E-02  1.000355E+00 -9.372359E-01
   208  0.001565 17.057308  9.882148E-01  1.216331E-02  9.993995E-01 -1.054965E+00
   209  0.001337 17.058646  9.895427E-01  1.067109E-02  9.834023E-01 -1.181470E+00
   210  0.001152 17.059798  9.906581E-01  9.235496E-03  9.487067E-01 -1.314703E+00
   211  0.001004 17.060802  9.915847E-01  7.848471E-03  8.916550E-01 -1.451476E+00
   212  0.000973 17.061775  9.924111E-01  6.363988E-03  7.988790E-01 -1.600904E+00
   213  0.000867 17.062642  9.930524E-01  4.914898E-03  6.719099E-01 -1.740720E+00
   214  0.000786 17.063429  9.935206E-01  3.498471E-03  5.116383E-01 -1.859844E+00
   215  0.000708 17.064136  9.938201E-01  2.150567E-03  3.292415E-01 -1.945264E+00
   216  0.000641 17.064777  9.939712E-01  8.871427E-04  1.391241E-01 -1.991485E+00
   217  0.000440 17.065217  9.940022E-01  9.040893E-06  1.459759E-03 -2.001246E+00
